english,tag,definition
African,noun,"a person from Africa, especially a black person"
African,adjective,of or connected with Africa
Arabic,noun,the language of the Arabs
Asian,adjective,of or connected with Asia
Asian,noun,"a person from Asia, or whose family originally came from Asia"
Chinese,noun,"1. a person from China, or whose family was originally from China 2. the language of China"
European,noun,"1. a person from Europe, or whose ancestors came from Europe 2. a person who supports the principles and aims of the European Union"
European,adjective,1. of or connected with Europe 2. of or connected with the European Union
Facebook,noun,a very popular social media website
Google,,to type words into the search engine Google™ in order to find information about somebody/something
Greek,noun,1. a person from modern or ancient Greece 2. the language of modern or ancient Greece
Hollywood,noun,the part of Los Angeles where the film industry is based (used to refer to the US film industry and the way of life that is associated with it)
Latin,noun,"1. the language of ancient Rome and the official language of its empire 2. a person from countries where languages that have developed from Latin, such as Spanish, Portuguese, Italian or French, are spoken"
MP3,noun,a method of reducing the size of a computer file containing sound; a file that is reduced in size in this way
Polish,noun,1. a substance used when rubbing a surface to make it smooth and shiny 2. an act of polishing something
Portuguese,noun,1. a person from Portugal 2. the language used in Portugal and Brazil and some other countries
Roman,adjective,1. connected with ancient Rome or the Roman Empire 2. connected with the modern city of Rome
Russian,noun,1. a person from Russia 2. the language of Russia
ability,noun,1. the fact that somebody/something is able to do something 2. a level of skill or intelligence
able,adjective,"1. having the skill, intelligence, opportunity, etc. needed to do something 2. intelligent; good at something"
abroad,adverb,1. in or to a foreign country 2. being talked about or felt by many people
accept,verb,"1. to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc. 2. to agree to or approve of something"
accident,noun,"1. an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage 2. something that happens unexpectedly and is not planned in advance"
according,preposition,"to give somebody/something authority, status or a particular type of treatment"
ache,noun,a continuous feeling of pain in a part of the body
ache,verb,1. to feel a continuous pain that is not severe 2. to have a strong desire for somebody/something or to do something
achieve,verb,"1. to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time 2. to succeed in doing something or causing something to happen"
act,verb,1. to do something for a particular purpose or in order to deal with a situation 2. to behave in a particular way
acting,noun,"the activity or profession of performing in plays, films, etc."
active,adjective,"1. always busy doing things, especially physical activities 2. involved in something; making a determined effort and not leaving something to happen by itself"
actually,adverb,"1. used in speaking to emphasize a fact or a comment, or that something is really true 2. used to show a contrast between what is true and what somebody believes, and to show surprise about this contrast"
adult,noun,1. a fully grown person who is legally responsible for their actions 2. a fully grown animal
adult,adjective,1. fully grown or developed 2. behaving in an intelligent and responsible way; typical of what is expected of an adult
advantage,noun,1. a thing that helps you to be better or more successful than other people 2. a quality of something that makes it better or more useful
adventure,noun,"1. an unusual, exciting or dangerous experience, journey or series of events 2. the quality of being excited and willing to take risks, try new ideas, etc."
advert,noun,"1. a notice, picture or film telling people about a product, job or service 2. an example of something that shows its good qualities"
advertise,verb,"1. to tell the public about a product or a service in order to encourage people to buy or to use it 2. to let people know that something is going to happen, or that a job is available by giving details about it in a newspaper, on a notice in a public place, on the internet, etc."
advertisement,noun,"1. a notice, picture or film telling people about a product, job or service 2. an example of something that shows its good qualities"
advertising,noun,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc."
affect,verb,1. to produce a change in somebody/something 2. to attack somebody or a part of the body; to make somebody become ill
after,adverb,later in time; afterwards
after,conjunction,at a time later than something; when something has finished
afternoons,adverb,during the afternoon every day
against,preposition,1. opposing or disagreeing with somebody/something 2. not to the advantage or favour of somebody/something
agree,verb,1. to have the same opinion as somebody; to say that you have the same opinion 2. to approve of something because you think it is morally right
ah,exclamation,"used to express surprise, pleasure or sympathy, or when you disagree with somebody"
airline,noun,a company that provides regular flights to take passengers and goods to different places
alive,adjective,"1. living; not dead 2. full of emotion, excitement, activity, etc."
all,adverb,the whole number of
all,adjective,the whole number of
all,exclamation,the whole number of
allow,verb,1. to let somebody/something do something; to let something happen or be done 2. to let somebody have something
almost,adverb,not quite
alone,adjective,1. without any other people 2. without the help of other people or things
alone,adverb,1. without any other people 2. without the help of other people or things
along,adverb,1. forward 2. with somebody
along,preposition,1. from one end to or towards the other end of something 2. in a line that follows the side of something long
already,adverb,1. before now or before a particular time in the past 2. used to express surprise that something has happened so soon or so early
alright,adjective,1. acceptable; in an acceptable manner 2. safe and well
alright,exclamation,1. used to check that somebody agrees or understands 2. used to say that you agree
alternative,noun,a thing that you can choose to do or have out of two or more possibilities
although,conjunction,1. used for introducing a statement that makes the main statement in a sentence seem surprising 2. used to mean ‘but’ or ‘however’ when you are commenting on a statement
among,preposition,1. surrounded by somebody/something; in the middle of somebody/something 2. being included or happening in groups of things or people
amount,noun,1. a quantity of something 2. a sum of money
ancient,adjective,1. belonging to a period of history that is thousands of years in the past 2. very old; having existed for a very long time
ankle,noun,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint
any,adverb,"used with uncountable or plural nouns in negative sentences and questions, after if or whether, and after some verbs such as prevent, ban, forbid, etc. to refer to an amount or a number of something, however large or small"
anybody,noun,"1. used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc. 2. any person at all; it does not matter who"
anyway,adverb,1. used when adding something to support an idea or argument 2. despite something; even so
anywhere,noun,used in negative sentences and in questions instead of somewhere
anywhere,adverb,"1. used in negative sentences and in questions instead of somewhere 2. in, at or to any place, when it does not matter where"
app,noun,"1. a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game 2. a program designed to do a particular job; a piece of software"
appear,verb,1. to start to be seen 2. to begin to exist or be known or used for the first time
appearance,noun,"1. the way that somebody/something looks on the outside; what somebody/something seems to be 2. the fact of somebody/something arriving, especially when it is not expected"
