english,tag,definition
American,adjective,"1. of or connected with North or South America, especially the US 2. used to say that something is typical of America"
American,noun,"1. a person from America, especially the US 2. the English language as spoken in the US"
Antarctic,adjective,relating to the regions of the world around the South Pole
Antarctica,noun,the continent around the South Pole
Arctic,adjective,1. related to or happening in the regions around the North Pole 2. extremely cold
Arctic,noun,the regions of the world around the North Pole
CV,noun,"1. a written record of your education and the jobs you have done, that you send when you are applying for a job (the abbreviation for ‘curriculum vitae’)  2. a record of a college teacher's education, where they have worked, the books and articles they have published and the courses they have taught, used when they are applying for a job (the abbreviation for ‘curriculum vitae’) "
Dr,abbreviation,(in writing) Doctor
EU,abbreviation,European Union
Easter,noun,1. (in the Christian religion) a Sunday in March or April when Christians celebrate the resurrection (= return to life) of Christ 2. the period that includes Easter Day and the days close to it
IT,noun,"1. used to refer to an animal or a thing that has already been mentioned or that is being talked about now 2. used to refer to a baby, especially one whose sex is not known"
Instagram,noun,a social media website where people can share photographs and short videos
Irish,noun,1. the Celtic language of Ireland 2. the people of Ireland
MP,noun,1. a person who has been elected to represent the people of a particular area in a parliament (the abbreviation for ‘Member of Parliament’)  2. a member of the military police
Mars,noun,"the planet in the solar system that is fourth in order of distance from the sun, between the Earth and Jupiter"
Olympic,adjective,connected with the Olympic Games
PE,noun,sport and exercise that is taught in schools (the abbreviation for ‘physical education’) 
Parliament,noun,"1. the group of people who are elected to make and change the laws of a country 2. the parliament of some countries, including the United Kingdom. In the UK, Parliament consists of the House of Commons and the House of Lords"
Twitter,noun,"1. a series of short, high sounds that birds make 2. a state of nervous excitement"
Welsh,noun,1. the Celtic language of Wales 2. the people of Wales
Wi-Fi,noun,a system for connecting to the internet or sending data over computer networks using radio waves instead of wires
YouTube,noun,a website where people can watch and share videos
abbreviation,noun,"1. a short form of a word, etc. 2. the process of abbreviating something"
absolutely,adverb,1. used to emphasize that something is completely true 2. used to emphasize something negative
academic,adjective,"1. connected with education, especially studying in schools and universities 2. involving a lot of reading and studying rather than practical or technical skills"
access,noun,1. the opportunity or right to use something or to see somebody/something 2. a way of entering or reaching a place
access,verb,"1. to open a computer file or use a computer system 2. to be able to have or use something, especially something that you have a right to "
accommodation,noun,"1. a place to live, work or stay in 2. somewhere to live or stay, often also providing food or other services"
account,noun,"1. an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc. 2. an arrangement that somebody has with a company that allows them to use the internet, send and receive messages by email, social media, etc."
achievement,noun,"1. a thing that somebody has done successfully, especially using their own effort and skill 2. the act or process of achieving something"
act,noun,1. a particular thing that somebody does 2. a law that has been passed by a parliament
active,noun,the form of a verb in which the subject is the person or thing that performs the action
ad,noun,"a notice, picture or film telling people about a product, job or service"
addition,noun,1. a thing that is added to something else 2. the act of adding something to something else
admire,verb,1. to respect somebody for what they have done or to respect their qualities 2. to look at something and think that it is attractive and/or impressive
admit,verb,"1. to agree, often unwillingly, that something is true 2. to say that you have done something wrong or illegal"
advanced,adjective,"1. having the most modern and recently developed ideas, methods, etc. 2. at a high or difficult level"
adverbial,adjective,"adding more information about place, time, manner, cause or degree to a verb, an adjective, a phrase or another adverb"
advise,verb,1. to tell somebody what you think they should do in a particular situation 2. to give somebody help and information on a subject that you know a lot about
adviser,noun,"a person who gives advice, especially somebody who knows a lot about a particular subject"
afford,verb,"1. to have enough money to be able to buy or do something 2. if you say that you can’t afford to do something, you mean that you should not do it because it will cause problems for you if you do"
age,verb,"1. to become older 2. to look, feel or seem older; to make somebody/something look, feel or seem older"
age,noun,1. the number of years that a person has lived or a thing has existed 2. a very long time
aged,adjective,1. of the age of 2. very old
agent,noun,"1. a person whose job is to act for, or manage the affairs of, other people in business, politics, etc. 2. a person whose job is to arrange work for an actor, musician, sports player, etc. or to find somebody who will publish a writer’s work"
