english,tag,definition
A-bomb,noun,a bomb that explodes using the energy that is produced when an atom or atoms are split
A-frame,noun,a house with very steep sides that meet at the top in the shape of the letter A
A-line,adjective,wider at the bottom than at the top
A-list,adjective,"used to describe the group of people who are considered to be the most famous, successful or important"
A-lister,noun,"one of the group of people who are considered to be the most famous, successful or important"
A-road,noun,"(in the UK) a road that is less important than a motorway, but wider and straighter than a B-road"
A-side,noun,the side of a pop record that was considered more likely to be successful
ABH,abbreviation,actual bodily harm
ACT,abbreviation,1. American College Test (an exam that some high school students take before they go to college) 2. Australian Capital Territory
ADD,abbreviation,attention deficit disorder
ADHD,abbreviation,attention deficit hyperactivity disorder
ADSL,abbreviation,asymmetric digital subscriber line (a system for connecting a computer to the internet using a phone line)
AFAIC,abbreviation,"as far as I'm concerned (used in emails, text messages, social media, etc. to give your personal opinion about something)"
AFAIK,abbreviation,"as far as I know (= used in text messages, on social media, etc.)"
AGM,noun,"an important meeting that the members of an organization hold once a year in order to elect officers, discuss past and future activities and examine the accounts (the abbreviation for ‘annual general meeting’) "
ALPR,noun,"a system that reads and checks vehicle license numbers in order to identify criminal activity, manage parking and monitor traffic (the abbreviation for automatic license plate recognition or automatic number plate recognition)"
ALS,noun,a disease that affects nerve cells in the spine and causes muscles to become weak and gradually stop working (the abbreviation for amyotrophic lateral sclerosis)
ANPR,noun,"a system that reads and checks vehicle registration numbers in order to identify criminal activity, manage parking and monitor traffic (the abbreviation for automatic number plate recognition or automatic license plate recognition)"
AOB,abbreviation,any other business (the things that are discussed at the end of an official meeting that are not on the rest of the agenda)
ASBO,noun,an order made by a court that said that somebody had to stop behaving in a harmful or annoying way to other people (the abbreviation for ‘antisocial behaviour order’) 
ASD,noun,"a range of conditions affecting brain development that can be severe or mild, in which a person can find it difficult to communicate and form relationships, and may show repeated or limited patterns of thought and behaviour (the abbreviation for autism spectrum disorder)"
ASL,noun,a sign language (= a language that uses hand movements rather than words) developed and used in the US and also used in English-speaking parts of Canada (the abbreviation for American Sign Language)
AST,abbreviation,"Atlantic Standard Time (= the time used in winter in an area that includes the east of Canada, Puerto Rico and the Virgin Islands that is four hours earlier than UTC)"
Adonis,noun,an extremely attractive young man
Afrikaans,noun,"a language that has developed from Dutch, spoken in South Africa"
Afro,noun,"a style for curly hair, especially the naturally curly hair that many black people have, in which it is allowed to grow into a thick, round mass "
Afro,adjective,naturally curly in the way that many black people's hair is
Afro-Caribbean,noun,"a person who comes, or whose family comes, from the Caribbean and who is a member of a group of people who have dark skin and whose ancestors came from Africa"
Afrofuturism,noun,"a movement in literature, art, etc. that includes black history and culture within science fiction and futuristic themes "
Afrofuturist,noun,"an artist, writer, etc. who works in the style of afrofuturism"
Afrofuturist,adjective,in the style of afrofuturism; working in this style
Airbus,noun,a plane designed to carry a large number of passengers
Algol,noun,an early computer language used for scientific calculations
Alzheimer’s,noun,"a serious disease, especially affecting older people, that prevents the brain from functioning normally and causes loss of memory, loss of ability to speak clearly, etc. Alzheimer's is a form of dementia."
Anglican,noun,a member of the Church of England or of a Church connected with it in another country
Anglican,adjective,of or connected with the Church of England or another Church connected with it in a different country
Anglicism,noun,a word or phrase from the English language that is used in another language
Antifa,noun,a political protest movement of people who are against fascism 
Aramaic,noun,a language spoken in the Near East since the 6th century BC
Ashkenazi,noun,a Jewish person whose ancestors came from central or eastern Europe
Australasia,noun,"the region including Australia, New Zealand and the islands of the south-west Pacific"
Autocue,noun,"a device used by people who are speaking in public, especially on television, that displays the words that they have to say"
