english,tag,definition
abase,verb,to act in a way that shows that you accept somebody’s power over you
abdominal,noun,the muscles of the abdomen
abed,adverb,in bed
aberration,noun,"a fact, an action or a way of behaving that is not usual, and that may be unacceptable"
abet,verb,1. to help or encourage somebody to do something wrong 2. to help somebody to do something illegal or wrong
abeyance,noun,"not being used, or being stopped for a period of time"
abhorrence,noun,"a strong feeling of hating somebody/something, especially for moral reasons"
abhorrent,adjective,"causing a strong feeling of hate, especially for moral reasons"
abject,adjective,1. terrible and without hope 2. without any respect for yourself
abjure,verb,to promise publicly that you will give up or reject a belief or a way of behaving
ablution,noun,the act of washing yourself—usually plural
abnormal,adjective,"different from what is usual or expected, especially in a way that worries somebody or is harmful or not wanted"
abomination,noun,a thing that is hated and considered extremely offensive
aborigines,noun,"a member of the original people to live in an area, a member of any of the native peoples of Australia"
aboveboard,adjective,"open, honest, and legal"
abrade,verb,"to rub the surface of something, such as rock or skin, and damage it or make it rough"
abrasion,noun,1. a damaged area of the skin where it has been rubbed against something hard and rough 2. damage to a surface caused by rubbing something very hard against it
abscess,noun,"a swollen (= larger than normal) and painful area on your skin or in your body, full of a thick yellow liquid (called pus)"
abscond,verb,"1. to escape from a place that you are not allowed to leave without permission 2. to leave secretly and take with you something, especially money, that does not belong to you"
absence,noun,1. the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away 2. the fact of somebody/something not existing or not being available; a lack of something
absent-minded,adjective,"tending to forget things, perhaps because you are not thinking about what is around you, but about something else"
absolve,verb,1. to state formally that somebody is not guilty or responsible for something 2. to give absolution to somebody
abstruse,adjective,difficult to understand
absurd,adjective,1. extremely silly; not logical and sensible 2. things that are or that seem to be absurd
abundant,adjective,existing in large quantities; more than enough
abut,verb,to be next to something or to have one side touching the side of something
abyss,noun,a very deep wide space or hole that seems to have no bottom
academician,noun,a member of an academy
accessible,adjective,"1. that can be reached, entered, used, seen, etc. 2. that can be reached, entered, used, etc. by somebody who has problems walking"
accompaniment,noun,"1. music that is played to support singing or another instrument 2. something that you eat, drink or use together with something else"
accompanist,noun,"a person who plays a musical instrument, especially a piano, while somebody else plays or sings the main part of the music"
accost,verb,"to go up to somebody and speak to them, especially in a way that is rude or frightening"
accursed,adjective,having a curse (= a bad magic spell) on it
accusation,noun,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody
accusatory,adjective,suggesting that you think somebody has done something wrong
accustom,verb,to cause (someone) to become adjusted to or familiar with something—+ to
acerbity,noun,the fact of being critical in a direct and rather cruel way
acetate,noun,"1. a chemical made from acetic acid, used in making plastics, etc. 2. a chemical used to make fibres that are used to make clothes, etc. 3. a clear plastic sheet that you can write or print something on and show on a screen using an overhead projector"
acidify,verb,to become or make something become an acid
acknowledgment,noun,"the act of acknowledging something or someone: such as, the act of showing that you know, admit, or accept that something exists or is true, the act of praising or thanking someone for an action or achievement"
acme,noun,the highest stage of development or the most excellent example of something
acquaint,verb,to make somebody/yourself familiar with or aware of something
acreage,noun,an area of land measured in acres
acrid,adjective,"having a strong, bitter smell or taste that is unpleasant"
actionable,adjective,1. giving somebody a legally acceptable reason to bring a case to court 2. that can be done or acted on
actuality,noun,1. the state of something existing in reality 2. things that exist
acumen,noun,the ability to understand and decide things quickly and well
adamant,noun,determined not to change your mind or to be persuaded about something
addle,verb,to make somebody unable to think clearly; to confuse somebody
adduce,verb,"to provide evidence, reasons, facts, etc. in order to explain something or to show that something is true"
adhere,verb,to stick to something
adherent,adjective,a person who supports a particular set of ideas
adhesion,noun,the ability to stick or become attached to something
adjunct,noun,1. an adverb or a phrase that adds meaning to the verb in a sentence or part of a sentence 2. a thing that is added or attached to something larger or more important
admittance,noun,"the right to enter or the act of entering a building, an institution, etc."
admonition,noun,a warning to somebody about their behaviour
ado,noun,without delaying; immediately
adulterate,verb,to make food or drink less pure by adding another substance to it
adumbrate,verb,to give a general idea or description of something without details
adverse,adjective,negative and unpleasant; not likely to produce a good result
adversity,noun,a difficult or unpleasant situation
advertiser,noun,a person or company that advertises
advocacy,noun,"1. public support that somebody gives to an idea, a course of action or a belief 2. support, advice and help given to people, often with special needs or aims, who are unable to speak for themselves 3. the work of lawyers who speak about cases in court"
aerostat,noun,an aircraft such as an airship or hot-air balloon that is filled with a gas
affectation,noun,behaviour or an action that is not natural or sincere and that is often intended to impress other people
affiliate,noun,"a company, an organization, etc. that is connected with or controlled by another, larger one"
affluence,noun,the state of having a lot of money and a good standard of living
affront,noun,a remark or an action that offends somebody/something
afire,adjective,burning : on fire : aflame
afoot,adverb,being planned; happening
aforesaid,adjective,said or named before : aforementioned—often used in legal contexts
afresh,adverb,"again, especially from the beginning or with new ideas"
afterthought,noun,"a thing that is thought of, said or added later, and is often not carefully planned"
agglomerate,verb,to form into a mass or group; to collect things and form them into a mass or group
aggravation,noun,"1. the fact of an illness or a bad situation being made worse 2. things that annoy you, especially when they seem to do so deliberately"
agrarian,adjective,connected with farming and the use of land for farming
airy,adjective,1. with plenty of fresh air because there is a lot of space 2. acting or done in a way that shows that you are not worried or that you are not treating something as serious 3. not serious or practical
akin,adjective,similar to something
alabaster,noun,a type of white stone that is often used to make statues and other objects
alacrity,noun,great happiness or enthusiasm
albeit,conjunction,although
alchemy,noun,1. a form of chemistry studied in the Middle Ages that involved trying to discover how to change ordinary metals into gold 2. a mysterious power or magic that can change things
alder,noun,"a tree of the birch family that grows in northern countries, usually in wet ground"
alderman,noun,"1. (in England and Wales in the past) a senior member of a town, borough or county council, below the rank of a mayor, chosen by other members of the council 2. (in the US, Canada and Australia) an elected member of a town or city council"
alias,noun,"1. a false or different name, especially one that is used by a criminal 2. a name that can be used instead of the actual name for a file, internet address, etc."
alienable,adjective,able to be taken or given away
alienate,verb,1. to make somebody less friendly towards you 2. to make somebody feel that they do not belong in a particular group
alienation,noun,1. the act of making somebody less friendly towards you 2. the feeling that you do not belong in a particular group
allay,verb,"to make something, especially a feeling, less strong"
allege,verb,to state something as a fact but without giving proof
alleviate,verb,to make something less severe
allot,verb,"to give time, money, tasks, etc. to somebody/something as a share of what is available"
allude,verb,
almanac,noun,"1. a book or digital resource that is released every year giving information for that year about a particular subject or activity 2. a book or digital resource that gives information about the sun, moon, times of the tides (= the rise and fall of the sea level), etc. for each day of the year"
alteration,noun,1. a change to something that makes it different 2. the act of making a change to something
altruism,noun,"the fact of caring about the needs and happiness of other people and being willing to do things to help them, even if it brings no advantage to yourself"
amalgam,noun,"1. a mixture or combination of things 2. a mixture of mercury and another metal, used especially to fill holes in teeth"
amalgamate,verb,"1. if two organizations amalgamate or are amalgamated, they join together to form one large organization 2. to put two or more things together so that they form one"
amateur,adjective,"1. doing something for pleasure or interest, not as a job 2. done for pleasure, not as a job 3. not done or made well or with skill"
amatory,adjective,relating to or connected with sexual desire or activity
ambidextrous,adjective,able to use the left hand or the right hand equally well
ambiguous,adjective,1. that can be understood in more than one way; having different meanings 2. not clearly stated or defined
amenable,adjective,1. easy to control; willing to be influenced by somebody/something 2. that you can treat in a particular way
