english,tag
Allah,noun
Alsatian,noun
Anglo-Saxon,adjective
Anglo-Saxon,noun
BCE,abbreviation
BMX,noun
Bengali,noun
BlackBerry™,noun
Blu-ray,noun
Bluetooth™,noun
Bollywood,noun
Broadway,noun
Buddha,noun
Buddhism,noun
Buddhist,noun
Buddhist,adjective
C-19,noun
CCTV,abbreviation
CFO,noun
CTO,noun
Catholic,noun
Catholicism,noun
Christ,noun
FBI,abbreviation
Fahrenheit,noun
GCSE,noun
HIV,noun
HTML,abbreviation
Hoover™,noun
IGCSE,noun
Impressionism,noun
Impressionist,adjective
Islamic,adjective
Jeep™,noun
Jesus,noun
Kiswahili,noun
Koran,noun
LGBT,abbreviation
LGBTQ,abbreviation
LOL,exclamation
Labrador,noun
Lego™,noun
Ltd,abbreviation
MBA,noun
Maori,noun
Mercury,noun
Mohammed,noun
Muhammad,noun
NASA,abbreviation
NATO,abbreviation
NGO,noun
Neptune,noun
Pluto,noun
Protestant,adjective
Protestant,noun
Protestantism,noun
Qur’an,noun
RAM,noun
STEM,abbreviation
Saturn,noun
Swahili,noun
Tamil,noun
TikTok™,noun
UFO,noun
USB,abbreviation
Uranus,noun
Urdu,noun
VAR,noun
VIP,noun
Victorian,adjective
Victorian,noun
XXL,abbreviation
able,adjective
aboard,adverb
abolition,noun
abortion,noun
absorbed,adjective
abuse,verb
abuse,noun
academy,noun
accelerate,verb
acceleration,noun
accelerator,noun
acceptance,noun
accessibility,noun
accessory,noun
accommodate,verb
accomplice,noun
accomplished,adjective
accomplishment,noun
accountability,noun
accountable,adjective
accountancy,noun
accumulate,verb
accumulation,noun
achiever,noun
acid,adjective
acidity,noun
acoustic,adjective
acquisition,noun
acquit,verb
acre,noun
act,noun
activation,noun
active,adjective
activism,noun
activist,noun
actor-manager,noun
acute,adjective
acutely,adverb
adaptable,adjective
adaptation,noun
adapter,noun
addict,noun
addictive,adjective
adjacent,adjective
administer,verb
administrative,adjective
administrator,noun
admiral,noun
admiration,noun
admission,noun
admit,verb
adolescence,noun
adolescent,noun
adoption,noun
adoptive,adjective
adrenaline,noun
advance,verb
advancement,noun
advantage,verb
advantaged,adjective
advocate,verb
aerial,adjective
aerial,noun
aerobic,adjective
aerospace,noun
affection,noun
affectionate,adjective
affirmative,noun
affirmative,adjective
affirmatively,adverb
affix,noun
aftermath,noun
again,adverb
aged,adjective
aggression,noun
agitate,verb
agitated,adjective
agonizing,adjective
agony,noun
agricultural,adjective
aide,noun
ailment,noun
air,verb
airfield,noun
airspace,noun
alcoholic,noun
alert,noun
alert,verb
alert,adjective
algae,noun
algebra,noun
alibi,noun
alien,adjective
alike,adjective
all-day,adjective
all-inclusive,adjective
all-you-can-eat,adjective
alliance,noun
allied,adjective
alligator,noun
allowance,noun
ally,noun
almond,noun
alternate,adjective
altitude,noun
aluminium,noun
always,adverb
ambassador,noun
amphibian,noun
amplifier,noun
amplify,verb
anaesthetic,noun
anaesthetic,adjective
analogue,adjective
analogy,noun
ancestry,noun
anchor,noun
anchor,verb
angel,noun
animate,verb
annoyance,noun
antelope,noun
antenna,noun
anthem,noun
anthropological,adjective
anthropologist,noun
anthropology,noun
anti,preposition
anti-vaccine,adjective
antiseptic,noun
antiseptic,adjective
antivirus,adjective
antler,noun
appalled,adjective
apparatus,noun
appeal,noun
appeal,verb
appendix,noun
appetite,noun
appetizer,noun
appetizing,adjective
application,noun
appoint,verb
appraise,verb
appreciate,verb
appreciation,noun
apprehensive,adjective
apprenticeship,noun
approach,noun
apricot,noun
aquarium,noun
arcade,noun
arch,noun
arched,adjective
architectural,adjective
architecture,noun
archive,noun
area,noun
arena,noun
arguable,adjective
arguably,adverb
argumentative,adjective
arid,adjective
aristocracy,noun
aristocrat,noun
arithmetic,noun
arm,verb
arm,noun
armour,noun
arson,noun
arsonist,noun
artery,noun
articulate,adjective
articulate,verb
asparagus,noun
aspiration,noun
aspire,verb
aspiring,adjective
assassin,noun
assassinate,verb
assault,noun
assault,verb
assemble,verb
assembly,noun
assert,verb
assertion,noun
assertive,adjective
assertively,adverb
assessor,noun
associate,noun
assure,verb
assured,adjective
asthma,noun
astonishment,noun
astound,verb
astounded,adjective
astrobiologist,noun
astrobiology,noun
asylum,noun
atmospheric,adjective
atomic,adjective
atrocity,noun
attain,verb
attainment,noun
attendance,noun
